;BOUWJAAR_PAND;VLOEROPPERVLAK_VERBLIJFSOBJECT;age;app_advance_payment_adjustment_last_year;app_check_advance_payment_last_year;app_determine_day_of_payment_last_year;app_mandate_no_last_year;app_mandate_yes_last_year;app_transaction_request_last_year;bought_toon;electricity_annual_consumption_estimated_offpeak;electricity_annual_consumption_estimated_peak;electricity_annual_consumption_estimated_total;electricity_last_contract_annual_consumption_estimated_offpeak;electricity_last_contract_annual_consumption_estimated_peak;electricity_last_contract_annual_consumption_estimated_total;electricity_last_contract_term;gas_annual_consumption_estimated;gas_last_contract_annual_consumption_estimated;has_active_boiler_rent_contract;has_active_electricity_contract;has_phone_number;province;web_os_other_last_year
1;1976;198;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1664;1719;3383;1664;1719;3383;INDEFINITE;2626;2626;FALSE;TRUE;TRUE;LIMBURG;FALSE
2;1974;123;34;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1893;2242;4135;1893;2242;4135;INDEFINITE;1897;1897;FALSE;TRUE;TRUE;GELDERLAND;FALSE
3;1980;135;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1487;2197;3684;1487;2197;3684;3 YEARS;1215;400;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
4;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;867;867;FALSE;FALSE;TRUE;FRIESLAND;FALSE
5;1932;75;52;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;3082;3082;;3082;3082;INDEFINITE;1400;1400;FALSE;TRUE;TRUE;UTRECHT;FALSE
6;1989;119;31;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;258;423;681;258;423;681;4 YEARS;549;549;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
7;1978;154;74;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1313;1572;2885;1313;1572;2885;INDEFINITE;1734;1734;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
8;1986;57;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;464;611;1075;464;611;1075;INDEFINITE;1149;1149;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
9;1980;225;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;3362;3318;6680;2961;3001;5962;4 YEARS;3126;3072;FALSE;TRUE;TRUE;NOORD-BRABANT;FALSE
10;1988;84;58;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;1398;1417;2815;1398;1417;2815;INDEFINITE;552;552;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
11;1950;76;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;632;770;1402;632;770;1402;INDEFINITE;1169;1169;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
12;2001;117;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2126;3015;5141;2126;3015;5141;1 YEAR;871;871;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
13;1990;115;58;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;952;821;1773;952;821;1773;INDEFINITE;778;778;FALSE;TRUE;TRUE;UTRECHT;FALSE
14;1988;89;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1572;1836;3408;1572;1836;3408;3 YEARS;1115;1115;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
15;1994;77;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;67;68;135;67;68;135;INDEFINITE;60;60;FALSE;TRUE;TRUE;UTRECHT;FALSE
16;1976;123;72;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;854;823;1677;854;823;1677;INDEFINITE;1267;1267;FALSE;TRUE;TRUE;UTRECHT;FALSE
17;1895;151;74;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2953;540;3493;2953;540;3493;INDEFINITE;2394;2394;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
18;1941;90;31;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;883;1203;2086;883;1203;2086;INDEFINITE;1365;1365;FALSE;TRUE;TRUE;UTRECHT;FALSE
19;1935;104;43;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;1682;1682;4 YEARS;;1729;FALSE;FALSE;TRUE;ZUID-HOLLAND;FALSE
20;1970;113;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;790;758;1548;790;758;1548;1 YEAR;699;699;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
21;1971;110;37;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1243;1775;2837;1062;1775;2837;3 YEARS;1322;1199;FALSE;FALSE;TRUE;ZEELAND;FALSE
22;1975;136;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;907;1359;2266;907;1359;2266;INDEFINITE;1265;1265;FALSE;TRUE;TRUE;UTRECHT;FALSE
23;1881;67;32;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;346;329;675;346;329;675;INDEFINITE;;;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
24;1890;311;33;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1102;993;2095;1102;993;2095;INDEFINITE;1689;1689;FALSE;TRUE;TRUE;FRIESLAND;FALSE
25;1932;180;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1327;1247;2574;1327;1247;2574;INDEFINITE;326;326;FALSE;TRUE;TRUE;UTRECHT;FALSE
26;1971;131;57;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1880;1966;3846;1880;1966;3846;INDEFINITE;1536;1536;TRUE;TRUE;TRUE;UTRECHT;FALSE
27;1900;222;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1048;860;1908;1048;860;1908;INDEFINITE;2560;2560;FALSE;TRUE;TRUE;UTRECHT;FALSE
28;1991;194;70;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1576;2053;3629;1576;2053;3629;INDEFINITE;2453;2453;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
29;1998;143;63;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2010;1745;3755;2010;1745;3755;INDEFINITE;1501;1501;FALSE;TRUE;FALSE;ZUID-HOLLAND;FALSE
30;1971;116;48;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;1000;1000;2000;;;0;FALSE;FALSE;TRUE;ZUID-HOLLAND;FALSE
31;1977;108;34;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;2416;2323;4739;3 YEARS;;1135;FALSE;FALSE;TRUE;UTRECHT;FALSE
