;BOUWJAAR_PAND;VLOEROPPERVLAK_VERBLIJFSOBJECT;age;app_advance_payment_adjustment_last_year;app_check_advance_payment_last_year;app_determine_day_of_payment_last_year;app_mandate_no_last_year;app_mandate_yes_last_year;app_transaction_request_last_year;bought_toon;electricity_annual_consumption_estimated_offpeak;electricity_annual_consumption_estimated_peak;electricity_annual_consumption_estimated_total;electricity_last_contract_annual_consumption_estimated_offpeak;electricity_last_contract_annual_consumption_estimated_peak;electricity_last_contract_annual_consumption_estimated_total;electricity_last_contract_term;gas_annual_consumption_estimated;gas_last_contract_annual_consumption_estimated;has_active_boiler_rent_contract;has_active_electricity_contract;has_phone_number;province;web_os_other_last_year
1;1976;198;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1664;1719;3383;1664;1719;3383;INDEFINITE;2626;2626;FALSE;TRUE;TRUE;LIMBURG;FALSE
2;1974;123;23;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1893;2242;4135;1893;2242;4135;INDEFINITE;1897;1897;FALSE;TRUE;TRUE;GELDERLAND;FALSE
3;2000;135;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1487;2197;3684;1487;2197;3684;3 YEARS;1215;400;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
4;1999;130;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1450;2222;3083;1256;2345;4562;INDEFINITE;867;867;FALSE;FALSE;TRUE;FRIESLAND;FALSE
5;1932;75;52;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1666;3082;3082;1222;3082;3082;INDEFINITE;1400;1400;FALSE;TRUE;TRUE;UTRECHT;FALSE
6;1810;119;31;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;258;423;681;258;423;681;4 YEARS;549;549;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
7;1978;154;28;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1313;1572;2885;1313;1572;2885;INDEFINITE;1734;1734;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
8;1986;57;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;464;611;1075;464;611;1075;INDEFINITE;1149;1149;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
9;1980;225;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;3362;3318;6680;2961;3001;5962;4 YEARS;3126;3072;FALSE;TRUE;TRUE;NOORD-BRABANT;FALSE
10;2011;84;58;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;1398;1417;2815;1398;1417;2815;INDEFINITE;552;552;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
